Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
352000,24,221,6
353000,25,267,1
354000,25,250,5
355000,25,239,3
356000,25,241,1
357000,25,275,4
358000,25,218,6
359000,25,270,3
360000,25,243,1
361000,25,276,1
362000,25,259,2
363000,25,258,2
364000,25,278,3
365000,25,219,5
366000,25,261,2
367000,25,251,5
368000,26,270,4
369000,26,252,6
370000,26,266,3
371000,26,265,2
372000,26,242,3
373000,26,269,1
374000,26,267,2
375000,26,237,5
376000,26,280,1
377000,26,242,2
378000,26,286,0
379000,26,252,2
380000,26,231,1
381000,26,251,3
382000,27,262,0
383000,27,291,1
384000,27,272,2
385000,27,272,2
386000,27,277,3
387000,27,236,3
388000,27,269,2
389000,27,253,5
390000,27,275,1
391000,27,251,2
392000,27,280,1
393000,27,266,3
394000,27,250,2
395000,27,279,0
396000,28,283,1
397000,28,307,2
398000,28,247,3
399000,28,266,4
400000,28,253,4
401000,28,248,3
402000,28,240,1
403000,28,294,1
404000,28,282,1
405000,28,272,2
406000,28,257,4
407000,28,283,2
408000,28,285,4
409000,28,297,1
410000,28,276,2
411000,29,294,1
412000,29,292,1
413000,29,297,1
414000,29,286,1
415000,29,305,2
416000,29,282,1
417000,29,291,0
418000,29,291,1
419000,29,269,2
420000,29,305,1
421000,29,290,3
422000,29,282,0
423000,29,277,2
424000,29,313,1
425000,30,295,1
426000,30,308,1
427000,30,278,3
428000,30,309,1
429000,30,292,2
430000,30,320,0
431000,30,308,2
432000,30,306,4
433000,30,245,1
434000,30,298,2
435000,30,333,0
436000,30,296,3
437000,30,313,2
438000,30,290,0
439000,30,277,2
440000,31,314,1
441000,31,320,0
442000,31,322,1
443000,31,314,2
444000,31,318,1
445000,31,329,0
446000,31,289,0
447000,31,314,0
448000,31,324,2
449000,31,327,1
450000,31,322,0
451000,31,322,0
452000,31,302,2
453000,31,342,0
454000,32,312,0
455000,32,311,0
456000,32,357,0
457000,32,309,1
458000,32,315,1
459000,32,323,0
460000,32,281,4
461000,32,334,3
462000,32,332,3
463000,32,316,2
464000,32,297,1
465000,32,323,2
466000,32,327,1
467000,32,308,2
468000,32,338,1
469000,33,311,1
470000,33,344,0
471000,33,346,0
472000,33,333,2
473000,33,323,2
474000,33,317,1
475000,33,359,0
476000,33,318,1
477000,33,326,1
478000,33,339,0
479000,33,311,0
480000,33,355,3
481000,33,328,0
482000,33,328,3
