Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
100000,1.96,12,36
101000,2.15,30,30
102000,1.94,12,29
103000,2.2,20,36
104000,2.15,17,34
105000,2.02,14,34
106000,1.99,16,34
107000,2.25,20,30
108000,2.19,31,31
109000,2.19,17,28
110000,2.16,34,33
111000,2.2,26,37
112000,2.13,11,30
113000,2.06,20,32
114000,2.33,32,25
115000,2.25,37,33
116000,2.59,18,40
117000,2.39,15,36
118000,2.24,35,31
119000,2.45,9,43
120000,2.34,14,42
121000,2.33,25,37
122000,2.56,28,36
123000,2.5,45,34
124000,2.48,25,40
125000,2.5,12,44
126000,2.6,40,30
127000,2.6,26,37
128000,2.56,24,41
129000,2.63,23,37
130000,2.78,36,33
131000,2.75,30,38
132000,2.76,33,34
133000,2.58,27,43
134000,2.65,24,41
135000,2.75,16,45
136000,2.81,21,45
137000,2.59,30,40
138000,2.87,39,33
139000,2.84,33,38
140000,3.01,48,30
141000,2.83,29,36
142000,2.73,36,36
143000,2.85,22,46
144000,2.79,28,43
145000,2.92,37,44
146000,2.93,43,37
147000,3,33,32
148000,2.87,40,42
149000,3,35,36
150000,3.07,38,33
151000,3.03,36,36
152000,3.05,31,33
153000,2.97,32,41
154000,3.12,37,41
155000,3.08,50,36
156000,3.29,65,32
157000,2.99,47,40
158000,3.24,37,35
159000,3.19,34,40
160000,3.27,48,37
161000,3.28,45,31
162000,3.22,55,39
163000,3.2,42,40
164000,3.36,68,31
165000,3.21,30,39
166000,3.3,56,40
167000,3.34,40,42
168000,3.24,45,38
169000,3.31,43,34
170000,3.43,49,43
171000,3.39,51,38
172000,3.45,59,43
173000,3.55,44,36
174000,3.48,42,50
175000,3.6,60,33
176000,3.69,64,40
177000,3.42,49,41
178000,3.56,43,44
179000,3.71,55,44
180000,3.83,54,39
181000,3.62,55,40
182000,3.77,43,38
183000,3.78,63,40
184000,3.74,60,41
185000,3.84,57,45
186000,3.93,72,36
187000,3.77,53,47
188000,3.75,38,40
189000,3.84,42,50
190000,3.74,57,40
191000,3.95,60,44
192000,3.87,56,42
193000,3.88,65,38
194000,3.98,50,39
195000,3.82,49,39
196000,3.92,67,34
197000,3.87,39,46
198000,4.06,61,42
199000,3.81,56,39
200000,3.93,67,38
201000,4.2,102,30
202000,3.97,43,44
203000,4.21,57,47
204000,4.24,65,40
205000,4.07,37,43
206000,4.23,74,36
207000,4.13,71,44
208000,4.17,45,46
209000,4.27,61,41
210000,4.38,80,42
211000,4.16,62,41
212000,4.2,59,41
213000,4.31,67,43
214000,4.22,79,35
215000,4.5,85,43
216000,4.31,40,55
217000,4.51,81,35
218000,4.39,70,33
219000,4.4,93,39
220000,4.43,80,42
221000,4.56,79,31
222000,4.48,72,44
223000,4.56,73,36
224000,4.64,80,42
225000,4.69,51,49
226000,4.67,87,38
227000,4.54,86,34
228000,4.71,109,36
229000,4.44,82,35
230000,4.72,93,34
231000,4.54,88,32
232000,4.75,69,40
233000,4.75,83,38
234000,4.61,89,41
235000,4.66,78,36
236000,4.68,85,36
237000,4.69,84,43
238000,4.99,78,38
239000,5.06,79,43
240000,5.03,90,39
241000,4.65,62,36
242000,4.75,81,36
243000,4.93,77,45
244000,5.06,108,34
245000,4.84,105,41
246000,5.01,101,31
247000,5.03,57,48
248000,5.14,92,33
249000,5.05,75,42
250000,4.81,99,45
251000,5.1,86,37
252000,5.19,85,40
253000,5.18,101,43
254000,5.19,95,45
255000,5.18,83,40
256000,5.28,78,38
257000,5.33,101,41
258000,5.11,86,33
259000,5.28,96,41
260000,5.46,99,40
261000,5.29,92,40
262000,5.3,124,32
263000,5.33,92,42
264000,5.13,87,43
265000,5.25,76,44
266000,5.27,91,39
267000,5.37,78,50
268000,5.53,126,28
269000,5.25,90,36
270000,5.37,95,42
271000,5.53,119,39
272000,5.64,82,45
273000,5.58,101,38
274000,5.54,94,43
