Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
388000,7.81,160,24
389000,7.95,176,24
390000,7.91,159,29
391000,8.1,190,24
392000,8.02,177,27
393000,7.82,200,29
394000,8.09,174,26
395000,8.02,171,28
396000,7.85,185,24
397000,8.17,185,26
398000,7.96,175,27
399000,8.1,132,34
400000,8.11,204,25
401000,7.95,196,19
402000,8.1,168,35
403000,8.24,189,24
404000,8.05,164,30
405000,8.2,189,23
406000,8.01,157,31
407000,8.24,168,32
408000,8.31,198,22
409000,8.26,172,34
410000,8.34,193,24
411000,8.51,181,29
412000,8.27,184,30
413000,8.44,201,20
414000,8.19,196,20
415000,8.47,165,32
416000,8.59,216,20
417000,8.28,174,31
418000,8.29,202,22
419000,8.49,164,31
420000,8.49,181,30
421000,8.51,187,24
422000,8.5,170,32
423000,8.48,179,22
424000,8.65,173,27
425000,8.59,190,21
426000,8.48,192,25
427000,8.73,194,24
428000,8.62,181,30
429000,8.69,203,19
430000,8.66,180,27
431000,8.63,211,23
432000,8.78,200,26
433000,8.77,213,21
434000,8.82,189,23
435000,8.79,203,16
436000,8.73,156,23
437000,8.72,197,26
438000,8.92,185,26
439000,8.71,212,19
440000,8.78,209,21
441000,8.86,211,23
442000,8.84,201,22
443000,8.98,222,20
444000,9.33,209,22
445000,8.86,203,23
446000,8.86,175,28
447000,8.81,209,23
448000,9.16,197,25
449000,9.14,204,22
450000,8.97,202,22
451000,8.87,207,28
452000,9.23,231,16
453000,9.33,243,19
454000,9.16,229,22
455000,9.32,213,19
456000,9.22,211,22
457000,9.18,214,18
458000,9.23,224,22
459000,9.3,203,26
460000,9.26,225,24
461000,9.28,240,18
462000,9.35,215,20
463000,9.45,236,19
464000,9.31,258,14
465000,9.25,218,25
466000,9.28,198,26
467000,9.43,231,20
468000,9.51,237,19
469000,9.56,200,29
470000,9.48,228,18
471000,9.62,215,26
472000,9.69,225,23
473000,9.34,193,32
474000,9.67,233,21
475000,9.47,228,20
476000,9.59,211,22
477000,9.67,193,27
478000,9.6,237,19
479000,9.59,228,22
480000,9.6,212,15
481000,9.67,227,18
482000,9.86,208,27
483000,9.83,239,22
484000,9.73,222,25
485000,9.73,213,23
486000,9.66,242,15
487000,9.94,242,23
488000,9.7,214,19
489000,9.72,246,20
490000,9.99,226,20
