Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
352000,24,233,8
353000,25,245,12
354000,25,248,2
355000,25,264,6
356000,25,255,9
357000,25,242,3
358000,25,243,8
359000,25,258,6
360000,25,244,7
361000,25,232,9
362000,25,252,3
363000,25,238,4
364000,25,239,12
365000,25,236,4
366000,25,252,8
367000,25,265,6
368000,26,293,4
369000,26,234,5
370000,26,263,6
371000,26,257,4
372000,26,246,5
373000,26,257,5
374000,26,248,5
375000,26,285,4
376000,26,212,7
377000,26,261,8
378000,26,241,5
379000,26,257,2
380000,26,221,9
381000,26,278,4
382000,27,256,5
383000,27,277,5
384000,27,266,7
385000,27,293,4
386000,27,230,10
387000,27,256,3
388000,27,285,5
389000,27,250,4
390000,27,267,5
391000,27,267,6
392000,27,253,7
393000,27,294,4
394000,27,260,6
395000,27,292,6
396000,28,282,5
397000,28,279,9
398000,28,288,6
399000,28,281,9
400000,28,247,6
401000,28,291,3
402000,28,263,4
403000,28,297,7
404000,28,292,4
405000,28,297,7
406000,28,298,4
407000,28,292,7
408000,28,268,6
409000,28,289,8
410000,28,287,10
411000,29,305,4
412000,29,258,6
413000,29,282,7
414000,29,271,5
415000,29,304,4
416000,29,335,2
417000,29,295,2
418000,29,293,9
419000,29,295,4
420000,29,285,4
421000,29,284,7
422000,29,266,9
423000,29,305,6
424000,29,297,2
425000,30,283,6
426000,30,268,7
427000,30,287,3
428000,30,319,3
429000,30,297,6
430000,30,287,3
431000,30,306,4
432000,30,292,4
433000,30,301,6
434000,30,300,4
435000,30,323,8
436000,30,280,4
437000,30,324,5
438000,30,288,7
439000,30,318,6
440000,31,320,7
441000,31,286,7
442000,31,318,4
443000,31,320,6
444000,31,312,3
445000,31,294,6
446000,31,313,7
447000,31,310,5
448000,31,334,3
449000,31,307,8
450000,31,276,5
451000,31,296,7
452000,31,323,7
453000,31,305,5
454000,32,329,2
455000,32,304,2
456000,32,301,8
457000,32,300,2
458000,32,323,1
459000,32,336,3
460000,32,320,3
461000,32,330,3
462000,32,358,6
463000,32,338,6
464000,32,300,4
465000,32,303,7
466000,32,317,5
467000,32,317,4
468000,32,340,6
469000,33,319,3
470000,33,337,5
471000,33,344,3
472000,33,287,7
473000,33,320,4
474000,33,376,4
475000,33,333,6
476000,33,304,7
477000,33,327,6
478000,33,325,4
479000,33,297,7
480000,33,342,9
481000,33,317,9
482000,33,330,3
483000,34,334,5
484000,34,329,4
485000,34,331,9
486000,34,365,6
487000,34,348,2
488000,34,309,12
489000,34,337,4
490000,34,344,5
491000,34,347,5
492000,34,362,9
493000,34,344,6
494000,34,350,6
495000,34,348,4
496000,34,362,4
497000,35,350,9
498000,35,338,7
499000,35,380,6
500000,35,360,4
501000,35,327,4
502000,35,345,11
503000,35,338,4
504000,35,354,5
505000,35,367,5
506000,35,370,4
507000,35,327,6
508000,35,343,9
509000,35,309,7
510000,35,360,7
511000,35,353,6
512000,36,344,8
513000,36,360,9
514000,36,328,7
515000,36,369,4
516000,36,358,4
517000,36,354,2
518000,36,346,6
519000,36,375,6
520000,36,374,6
521000,36,370,5
522000,36,368,6
523000,36,379,8
524000,36,370,7
525000,36,402,5
526000,37,373,3
527000,37,374,5
528000,37,345,4
529000,37,384,10
530000,37,369,6
531000,37,382,1
532000,37,374,4
533000,37,407,2
534000,37,366,3
535000,37,369,4
536000,37,365,5
537000,37,401,5
538000,37,351,1
539000,37,374,5
540000,37,372,6
541000,38,368,5
542000,38,421,5
543000,38,395,9
544000,38,351,8
545000,38,373,5
546000,38,370,6
547000,38,396,10
548000,38,369,3
549000,38,377,5
550000,38,374,7
551000,38,382,8
552000,38,371,3
553000,38,395,5
554000,38,409,2
555000,39,422,5
556000,39,416,6
557000,39,392,4
558000,39,398,5
559000,39,413,2
560000,39,395,6
561000,39,419,6
562000,39,384,4
563000,39,400,9
564000,39,395,3
565000,39,381,5
566000,39,376,3
567000,39,388,5
568000,39,395,2
569000,40,390,4
570000,40,399,13
571000,40,382,5
572000,40,413,9
573000,40,395,4
574000,40,381,6
575000,40,409,8
576000,40,409,6
577000,40,424,2
578000,40,413,8
579000,40,427,5
580000,40,390,8
581000,40,408,3
582000,40,345,7
583000,40,398,5
584000,41,388,5
585000,41,401,5
586000,41,415,8
587000,41,432,6
588000,41,426,6
589000,41,410,8
590000,41,440,9
591000,41,438,3
592000,41,398,7
593000,41,362,6
594000,41,404,7
595000,41,399,7
596000,41,446,4
597000,41,432,6
598000,42,423,2
599000,42,391,12
600000,42,431,8
601000,42,442,8
602000,42,445,7
603000,42,415,9
604000,42,406,8
605000,42,405,6
606000,42,414,9
607000,42,437,4
608000,42,402,7
609000,42,411,4
610000,42,460,7
611000,42,427,3
612000,42,438,5
613000,43,434,3
614000,43,427,8
615000,43,420,3
616000,43,409,5
617000,43,427,7
618000,43,428,10
619000,43,424,4
620000,43,438,2
621000,43,420,6
622000,43,430,4
623000,43,473,7
624000,43,422,5
625000,43,440,6
626000,43,427,3
627000,44,460,10
628000,44,454,7
629000,44,410,9
630000,44,457,7
631000,44,442,8
632000,44,432,3
633000,44,425,5
634000,44,456,6
635000,44,398,5
636000,44,426,9
637000,44,461,10
638000,44,438,3
639000,44,448,4
640000,44,479,4
641000,45,449,6
642000,45,431,9
643000,45,480,5
644000,45,444,5
645000,45,466,6
646000,45,450,2
647000,45,437,6
648000,45,468,6
649000,45,439,5
650000,45,475,6
651000,45,430,5
652000,45,421,6
653000,45,445,8
654000,45,439,11
655000,45,413,5
656000,46,453,4
657000,46,458,4
658000,46,495,6
659000,46,452,8
