Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
259000,17.95,195,4
260000,18.016666666666666,149,9
261000,18.083333333333332,150,8
262000,18.15,196,8
263000,18.283333333333335,164,9
264000,18.366666666666667,172,5
265000,18.416666666666668,154,8
266000,18.5,177,6
267000,18.566666666666666,179,7
268000,18.6,190,6
269000,18.833333333333332,205,7
270000,18.75,193,5
271000,18.866666666666667,184,6
272000,18.866666666666667,173,7
273000,18.983333333333334,189,9
274000,19.016666666666666,165,6
275000,19.05,184,6
276000,19.133333333333333,163,10
277000,19.166666666666668,195,6
278000,19.233333333333334,192,5
279000,19.383333333333333,206,7
280000,19.4,209,7
281000,19.583333333333332,197,6
282000,19.583333333333332,188,7
283000,19.683333333333334,183,6
284000,19.8,181,7
285000,19.85,212,2
286000,19.9,205,2
287000,19.95,206,8
288000,19.95,201,7
289000,20.0,212,8
290000,20.166666666666668,189,6
291000,20.166666666666668,193,3
292000,20.15,202,3
293000,20.2,183,9
294000,20.3,206,7
295000,20.45,190,6
296000,20.65,216,4
297000,20.633333333333333,232,0
298000,20.75,195,6
299000,20.833333333333332,209,5
300000,20.9,211,5
301000,20.916666666666668,213,5
302000,20.933333333333334,194,7
303000,21.0,191,5
304000,21.1,210,2
305000,21.1,228,3
306000,21.25,214,3
307000,21.35,241,3
308000,21.25,210,4
309000,21.35,243,1
310000,21.566666666666666,212,3
311000,21.583333333333332,213,2
312000,21.75,214,8
313000,21.75,229,2
314000,21.783333333333335,220,4
315000,21.783333333333335,213,4
316000,22.033333333333335,203,8
317000,21.983333333333334,190,5
318000,22.133333333333333,222,6
319000,22.033333333333335,246,2
320000,22.15,203,4
321000,22.266666666666666,220,7
322000,22.383333333333333,246,2
323000,22.483333333333334,225,5
324000,22.383333333333333,237,2
325000,22.566666666666666,238,2
326000,22.583333333333332,211,3
327000,22.866666666666667,193,5
328000,22.816666666666666,259,0
329000,22.916666666666668,247,2
330000,23.016666666666666,235,4
331000,22.95,220,4
332000,23.033333333333335,227,6
333000,23.083333333333332,252,3
334000,23.133333333333333,204,7
335000,23.15,214,4
336000,23.233333333333334,227,3
337000,23.433333333333334,225,2
338000,23.533333333333335,223,4
339000,23.616666666666667,239,3
340000,23.65,241,2
341000,23.7,240,3
342000,23.9,254,3
343000,23.783333333333335,246,3
344000,23.966666666666665,253,5
345000,23.95,248,3
346000,24.016666666666666,237,1
347000,24.066666666666666,256,0
348000,24.1,224,4
349000,24.233333333333334,240,4
350000,24.25,221,5
351000,24.233333333333334,237,3
352000,24.4,248,0
353000,24.55,257,2
354000,24.6,234,4
355000,24.716666666666665,243,2
356000,24.866666666666667,254,1
357000,24.95,251,2
358000,24.883333333333333,236,5
359000,24.933333333333334,237,3
360000,25.016666666666666,241,2
361000,25.0,250,2
362000,25.05,259,3
363000,25.183333333333334,270,1
364000,25.166666666666668,238,4
365000,25.233333333333334,236,2
366000,25.333333333333332,239,1
367000,25.433333333333334,242,6
368000,25.583333333333332,265,2
369000,25.633333333333333,254,0
370000,25.75,247,1
371000,25.716666666666665,240,2
372000,25.916666666666668,264,1
373000,25.933333333333334,253,2
374000,25.95,236,6
375000,26.1,247,2
376000,26.1,258,2
377000,26.083333333333332,266,1
378000,26.2,278,3
379000,26.2,268,4
380000,26.433333333333334,235,4
381000,26.4,251,3
