Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
352000,24,247,1
353000,25,255,4
354000,25,250,3
355000,25,220,1
356000,25,241,3
357000,25,263,3
358000,25,274,1
359000,25,263,2
360000,25,232,3
361000,25,202,7
362000,25,251,3
363000,25,254,2
364000,25,257,3
365000,25,222,3
366000,25,243,3
367000,25,267,5
368000,26,260,3
369000,26,244,5
370000,26,268,2
371000,26,233,5
372000,26,275,1
373000,26,277,2
374000,26,247,2
375000,26,267,2
376000,26,258,3
377000,26,283,0
378000,26,265,1
379000,26,295,2
380000,26,254,2
381000,26,285,2
382000,27,275,1
383000,27,272,3
384000,27,258,2
385000,27,252,3
386000,27,251,2
387000,27,260,3
388000,27,272,3
389000,27,277,0
390000,27,268,1
391000,27,283,2
392000,27,250,4
393000,27,253,4
394000,27,229,5
395000,27,289,2
396000,28,288,2
397000,28,281,1
398000,28,274,2
399000,28,261,2
400000,28,294,3
401000,28,275,2
402000,28,231,7
403000,28,275,0
404000,28,254,2
405000,28,273,2
406000,28,277,0
407000,28,275,1
408000,28,294,0
409000,28,262,5
410000,28,277,4
411000,29,287,2
412000,29,324,1
413000,29,292,2
414000,29,288,5
415000,29,298,0
416000,29,327,1
417000,29,297,0
418000,29,276,4
419000,29,303,0
420000,29,297,1
421000,29,262,2
422000,29,292,1
423000,29,278,1
424000,29,307,1
425000,30,301,0
426000,30,309,1
427000,30,306,1
428000,30,287,1
429000,30,288,1
430000,30,304,2
431000,30,296,1
432000,30,305,1
433000,30,285,1
434000,30,299,2
435000,30,299,2
436000,30,304,0
437000,30,292,1
438000,30,285,3
439000,30,318,0
440000,31,330,0
441000,31,295,2
442000,31,291,1
443000,31,300,0
444000,31,273,3
445000,31,317,1
446000,31,279,1
447000,31,297,3
448000,31,330,1
449000,31,322,1
450000,31,303,1
451000,31,324,0
452000,31,329,0
453000,31,311,2
454000,32,311,1
455000,32,330,1
456000,32,330,1
457000,32,321,0
458000,32,336,1
459000,32,338,1
460000,32,337,2
461000,32,309,1
462000,32,331,0
463000,32,294,0
464000,32,330,0
465000,32,304,1
466000,32,325,1
467000,32,309,2
468000,32,313,2
469000,33,317,1
470000,33,333,2
471000,33,342,0
472000,33,346,0
473000,33,335,0
474000,33,370,0
475000,33,319,2
476000,33,317,0
477000,33,330,0
478000,33,350,1
479000,33,358,2
480000,33,323,1
481000,33,322,1
482000,33,306,0
483000,34,319,1
484000,34,328,0
485000,34,361,0
486000,34,330,0
487000,34,317,1
488000,34,327,1
489000,34,328,0
490000,34,337,1
491000,34,357,1
492000,34,282,1
493000,34,383,0
494000,34,347,0
495000,34,336,0
496000,34,337,2
497000,35,335,2
498000,35,348,0
499000,35,330,1
500000,35,328,2
501000,35,371,1
502000,35,343,1
503000,35,333,1
504000,35,343,1
505000,35,381,0
506000,35,354,0
507000,35,364,2
508000,35,353,1
509000,35,360,0
510000,35,359,0
511000,35,388,0
512000,36,360,0
513000,36,340,0
514000,36,355,0
515000,36,392,0
516000,36,342,0
517000,36,339,0
518000,36,350,0
519000,36,337,1
520000,36,372,0
521000,36,344,0
522000,36,390,1
523000,36,367,2
524000,36,382,0
525000,36,352,0
526000,37,385,0
527000,37,398,0
528000,37,344,0
529000,37,367,1
530000,37,360,0
531000,37,372,1
532000,37,390,0
533000,37,341,1
534000,37,338,1
535000,37,369,1
536000,37,351,0
537000,37,355,1
538000,37,380,0
539000,37,377,1
540000,37,340,0
541000,38,388,1
542000,38,363,1
543000,38,373,0
544000,38,388,1
545000,38,362,0
546000,38,358,2
547000,38,378,0
548000,38,366,0
549000,38,375,0
550000,38,382,0
551000,38,394,0
552000,38,441,0
553000,38,378,0
554000,38,397,0
555000,39,394,0
556000,39,383,0
557000,39,408,0
558000,39,353,2
559000,39,359,2
560000,39,402,0
561000,39,372,1
562000,39,405,0
563000,39,375,0
564000,39,405,0
565000,39,401,1
566000,39,397,0
567000,39,392,0
568000,39,361,1
569000,40,428,0
570000,40,359,0
571000,40,373,1
572000,40,375,0
573000,40,402,1
574000,40,391,1
575000,40,378,0
576000,40,408,1
577000,40,415,0
578000,40,396,0
579000,40,405,0
580000,40,418,0
581000,40,407,0
582000,40,407,0
583000,40,408,1
584000,41,404,0
585000,41,433,0
586000,41,395,0
587000,41,410,1
588000,41,426,1
589000,41,416,0
590000,41,379,2
591000,41,404,0
592000,41,405,0
593000,41,429,0
594000,41,387,0
595000,41,386,1
596000,41,367,1
597000,41,384,0
598000,42,412,1
599000,42,442,0
600000,42,393,2
601000,42,459,1
602000,42,423,0
603000,42,422,1
604000,42,414,0
605000,42,465,0
606000,42,414,0
607000,42,413,1
608000,42,402,1
609000,42,394,0
610000,42,418,0
611000,42,405,0
612000,42,391,1
613000,43,430,1
614000,43,388,0
615000,43,444,0
616000,43,423,0
617000,43,401,0
618000,43,411,2
619000,43,452,0
620000,43,423,1
621000,43,447,0
622000,43,409,1
623000,43,420,1
624000,43,431,0
625000,43,425,0
626000,43,432,1
627000,44,407,0
628000,44,461,0
629000,44,462,0
630000,44,457,0
631000,44,438,0
632000,44,421,0
633000,44,431,0
634000,44,431,0
635000,44,427,0
636000,44,480,0
637000,44,437,0
638000,44,450,0
639000,44,443,0
640000,44,432,2
641000,45,453,0
642000,45,451,0
643000,45,443,0
644000,45,472,0
645000,45,420,1
646000,45,485,0
647000,45,482,0
648000,45,445,0
649000,45,430,0
650000,45,453,0
651000,45,443,0
652000,45,453,0
653000,45,459,0
654000,45,444,1
655000,45,468,0
656000,46,438,0
657000,46,486,0
658000,46,461,0
659000,46,470,0
660000,46,459,0
661000,46,467,0
662000,46,450,1
663000,46,452,0
664000,46,452,0
665000,46,468,1
666000,46,443,1
667000,46,457,0
668000,46,455,0
669000,46,468,0
670000,47,463,0
671000,47,444,1
672000,47,496,0
673000,47,456,0
674000,47,460,1
675000,47,476,0
676000,47,480,0
677000,47,477,0
678000,47,455,1
679000,47,476,0
680000,47,463,0
681000,47,471,0
682000,47,496,0
683000,47,484,0
684000,47,437,0
685000,48,497,0
686000,48,485,0
687000,48,469,0
688000,48,459,0
689000,48,451,0
690000,48,480,0
691000,48,485,0
692000,48,498,0
693000,48,461,0
694000,48,456,0
695000,48,468,0
696000,48,459,0
697000,48,496,0
698000,48,444,2
699000,49,487,0
700000,49,510,0
701000,49,466,0
702000,49,500,0
703000,49,484,0
704000,49,458,1
705000,49,502,0
706000,49,513,0
707000,49,510,0
708000,49,490,0
709000,49,489,0
710000,49,508,0
711000,49,506,0
712000,49,456,0
713000,50,519,0
714000,50,464,0
715000,50,503,0
716000,50,469,0
717000,50,513,0
718000,50,524,0
719000,50,475,0
720000,50,516,0
721000,50,498,0
722000,50,489,0
723000,50,534,0
724000,50,478,0
725000,50,559,0
726000,50,501,0
727000,50,486,1
728000,51,513,0
729000,51,499,0
730000,51,507,0
731000,51,521,0
732000,51,537,0
733000,51,489,0
734000,51,516,0
735000,51,508,0
736000,51,514,0
737000,51,524,0
738000,51,510,0
739000,51,507,0
740000,51,510,0
741000,51,489,0
742000,52,512,0
743000,52,551,0
744000,52,517,0
745000,52,515,0
746000,52,499,0
747000,52,510,0
748000,52,537,0
749000,52,528,0
750000,52,499,0
751000,52,478,0
752000,52,529,0
753000,52,502,0
754000,52,555,0
755000,52,553,0
756000,52,507,0
757000,53,539,0
758000,53,489,0
759000,53,521,0
760000,53,532,0
761000,53,543,1
762000,53,519,0
763000,53,543,0
764000,53,508,0
765000,53,531,0
766000,53,509,0
767000,53,513,0
768000,53,498,0
769000,53,502,0
770000,53,546,0
771000,54,512,0
772000,54,554,0
773000,54,565,0
774000,54,560,0
775000,54,546,0
776000,54,509,0
777000,54,537,0
778000,54,503,0
779000,54,567,0
780000,54,537,0
781000,54,515,0
782000,54,532,0
783000,54,535,0
784000,54,565,0
785000,55,550,0
786000,55,552,0
787000,55,565,0
788000,55,535,0
789000,55,575,0
790000,55,523,0
791000,55,554,0
792000,55,548,0
793000,55,561,0
794000,55,563,0
795000,55,563,0
796000,55,586,0
797000,55,536,0
798000,55,547,0
799000,55,569,0
800000,56,567,1
801000,56,552,0
802000,56,549,0
803000,56,571,0
804000,56,550,0
805000,56,540,0
806000,56,549,0
807000,56,523,0
808000,56,549,0
809000,56,569,0
810000,56,567,0
811000,56,561,0
812000,56,586,0
813000,56,553,0
814000,57,608,0
815000,57,528,0
816000,57,551,0
817000,57,583,0
818000,57,567,0
819000,57,587,0
820000,57,560,0
821000,57,563,0
822000,57,571,0
823000,57,536,0
824000,57,527,0
825000,57,589,0
826000,57,585,0
827000,57,572,0
828000,58,610,0
829000,58,573,0
830000,58,594,0
831000,58,582,0
832000,58,584,0
833000,58,595,0
834000,58,584,0
835000,58,547,0
836000,58,550,0
837000,58,565,0
838000,58,577,0
839000,58,597,0
840000,58,605,0
841000,58,557,0
842000,58,582,0
843000,59,575,0
844000,59,554,0
845000,59,576,0
846000,59,598,0
847000,59,568,0
848000,59,541,0
849000,59,598,0
850000,59,617,0
851000,59,605,0
852000,59,636,0
853000,59,619,0
854000,59,583,0
855000,59,587,0
856000,59,551,0
857000,60,599,0
858000,60,601,0
859000,60,584,0
860000,60,594,0
861000,60,613,0
862000,60,619,0
863000,60,592,0
864000,60,605,0
865000,60,578,0
866000,60,567,0
867000,60,636,0
868000,60,604,0
869000,60,601,0
870000,60,567,0
871000,60,611,0
872000,61,601,0
873000,61,617,0
874000,61,648,0
875000,61,597,0
876000,61,604,0
877000,61,628,0
878000,61,626,0
879000,61,572,0
880000,61,600,0
881000,61,630,0
882000,61,638,0
883000,61,578,0
884000,61,611,0
885000,61,585,0
886000,62,618,0
887000,62,640,0
888000,62,571,0
889000,62,631,0
890000,62,627,0
891000,62,650,0
892000,62,601,0
893000,62,621,0
894000,62,626,0
895000,62,635,0
896000,62,606,0
897000,62,606,0
898000,62,629,0
899000,62,659,0
900000,62,577,0
901000,63,637,0
902000,63,646,0
903000,63,620,0
904000,63,628,0
905000,63,667,0
906000,63,636,0
907000,63,651,0
908000,63,663,0
909000,63,632,0
910000,63,609,0
911000,63,597,0
912000,63,652,0
913000,63,624,0
914000,63,609,0
915000,64,616,0
916000,64,638,0
917000,64,649,0
918000,64,646,0
919000,64,602,0
920000,64,662,0
921000,64,645,0
922000,64,679,0
923000,64,645,0
924000,64,658,0
925000,64,686,0
926000,64,676,0
927000,64,643,0
928000,64,608,0
929000,65,672,0
930000,65,638,0
931000,65,646,0
932000,65,637,0
933000,65,644,0
934000,65,659,0
935000,65,657,0
936000,65,661,0
937000,65,664,0
938000,65,659,0
939000,65,619,0
940000,65,658,0
941000,65,632,0
942000,65,637,0
943000,65,618,0
944000,66,667,0
945000,66,690,0
946000,66,687,0
947000,66,694,0
948000,66,669,0
949000,66,681,0
950000,66,624,0
951000,66,650,0
952000,66,664,0
953000,66,664,0
954000,66,652,0
955000,66,629,0
956000,66,661,0
957000,66,626,0
958000,67,693,0
959000,67,662,0
960000,67,689,0
961000,67,686,0
962000,67,660,0
963000,67,690,0
964000,67,669,0
965000,67,687,0
966000,67,664,0
967000,67,668,0
968000,67,649,0
969000,67,643,0
970000,67,721,0
971000,67,692,0
972000,67,646,0
973000,68,683,0
974000,68,700,0
975000,68,722,0
976000,68,652,0
977000,68,660,0
978000,68,664,0
979000,68,664,0
980000,68,693,0
981000,68,658,0
982000,68,683,0
983000,68,736,0
984000,68,695,0
985000,68,690,0
986000,68,662,0
987000,69,682,0
988000,69,676,0
989000,69,701,0
990000,69,664,0
991000,69,677,0
992000,69,680,0
993000,69,662,0
994000,69,670,0
995000,69,712,0
996000,69,716,0
997000,69,674,0
998000,69,673,0
999000,69,715,0
1000000,69,720,0
1001000,70,729,0
1002000,70,685,0
1003000,70,735,0
1004000,70,742,0
1005000,70,706,0
1006000,70,674,0
1007000,70,700,0
1008000,70,719,0
1009000,70,697,0
1010000,70,706,0
1011000,70,745,0
1012000,70,729,0
1013000,70,705,0
1014000,70,714,0
1015000,70,709,0
1016000,71,716,0
1017000,71,698,0
1018000,71,690,0
1019000,71,709,0
1020000,71,696,0
1021000,71,730,0
1022000,71,727,0
1023000,71,711,0
1024000,71,718,0
1025000,71,729,0
1026000,71,693,0
1027000,71,733,0
1028000,71,714,0
1029000,71,743,0
1030000,72,699,0
1031000,72,758,0
1032000,72,712,0
1033000,72,700,0
1034000,72,765,0
1035000,72,705,0
1036000,72,714,0
1037000,72,710,0
1038000,72,752,0
1039000,72,741,0
1040000,72,737,0
1041000,72,677,0
1042000,72,729,0
1043000,72,741,0
1044000,72,709,0
